version,query,expected_asset,actual_asset,success,similarity,response_time_sec
v1.0,query,expected_asset,,False,0.3821,0.2132
v1.0,תציגי לי את לוגו החברה,לוגו.png,הצעת מחיר.png,False,0.4185,0.0787
v1.0,אני צריכה את הלוגו בשביל מצגת,לוגו.png,לוגו.png,True,0.4182,0.073
v1.0,שלחי לי את תמונת הלוגו הרשמית,לוגו.png,הצעת מחיר.png,False,0.4197,0.0678
v1.0,אני רוצה להוסיף חתימה למייל,חתימה למייל.png,חתימה למייל.png,True,0.4199,0.0605
v1.0,תציגי את החתימה הארגונית,חתימה למייל.png,הצעת מחיר.png,False,0.4186,0.0573
v1.0,אני צריכה את חתימת המייל של החברה,חתימה למייל.png,הצעת מחיר.png,False,0.4179,0.0689
v1.0,תכיני לי הצעת מחיר ללקוח,הצעת מחיר.png,הצעת מחיר.png,True,0.4217,0.0783
v1.0,אני צריכה תבנית הצעת מחיר,הצעת מחיר.png,הצעת מחיר.png,True,0.4195,0.0748
v1.0,שלחי ללקוח דיסק אונקי ממותג,אונקי.png,לוגו.png,False,0.4192,0.0646
v1.0,אני מחפשת את תמונת ה-USB הממותג,אונקי.png,הצעת מחיר.png,False,0.4096,0.0757
v1.0,תציגי את המתנה השיווקית ללקוח,אונקי.png,הצעת מחיר.png,False,0.4188,0.075
